fixed_acidity,volatile_acidity,citric_acid,residual_sugar,chlorides,free_sulfur_dioxide,total_sulfur_dioxide,density,pH,sulphates,alcohol,label
9.8,0.83,1.21,46.7,0.27,210.9,321.7,1.02825,3.0,1.23,10.8,bad
12.6,0.56,1.26,52.5,0.402,251.2,361.7,1.02041,3.28,1.13,11.2,good
11.2,0.51,0.88,58.3,0.327,100.8,204.3,1.01967,3.24,0.92,11.1,good
6.8,0.53,0.35,3.8,0.034,26.0,109.0,0.9906,3.26,0.57,12.7,good
13.4,0.83,1.38,45.3,0.269,149.7,255.7,1.02459,3.58,0.94,10.6,bad
9.5,0.95,1.13,37.6,0.326,224.6,300.6,1.00604,3.35,1.32,11.6,good
14.4,1.02,0.87,50.4,0.39,189.4,231.7,1.01136,2.98,1.61,9.3,bad
10.1,1.11,0.73,55.8,0.476,151.6,398.6,1.01435,3.39,0.92,11.5,bad
7.9,0.66,0.0,1.4,0.096,6.0,13.0,0.99569,3.43,0.58,9.5,bad
10.6,0.95,1.26,49.1,0.28,224.3,289.8,1.02191,2.97,1.22,12.2,bad
7.2,0.4,0.62,10.8,0.041,70.0,189.0,0.9976,3.08,0.49,8.6,bad
8.7,0.98,0.86,54.8,0.277,166.3,239.5,1.01877,3.19,1.1,11.3,bad
9.8,1.09,0.95,48.1,0.252,51.7,325.5,1.01971,3.12,1.31,12.0,good
12.4,0.91,0.75,56.6,0.329,86.7,356.0,1.02575,2.94,1.7,10.3,good
11.3,1.01,1.21,44.0,0.225,163.7,349.2,1.02351,2.89,0.94,11.8,bad
8.4,1.04,1.27,33.3,0.3,119.6,353.9,1.01044,2.91,1.42,13.9,good
11.2,1.05,0.82,36.4,0.091,207.2,123.2,1.00835,3.17,0.79,13.0,good
11.2,0.79,0.66,20.5,0.137,221.5,185.8,1.00906,3.21,0.71,11.5,good
5.0,0.42,0.24,2.0,0.06,19.0,50.0,0.9917,3.72,0.74,14.0,good
10.9,0.86,1.18,45.6,0.388,133.6,360.3,1.02096,3.09,0.85,11.5,bad
7.0,0.15,0.29,16.4,0.058,45.0,110.0,0.9978,3.15,0.37,9.7,bad
6.4,0.41,0.01,6.1,0.048,20.0,70.0,0.99362,3.19,0.42,10.0,bad
9.5,0.98,0.8,31.6,0.195,201.1,289.1,1.02446,2.81,1.7,13.3,bad
10.0,0.61,1.34,44.4,0.15,97.5,165.2,1.01883,3.02,1.14,10.6,bad
12.2,1.26,0.94,40.6,0.185,220.7,382.1,1.00485,3.26,1.56,11.8,good
8.5,0.34,0.4,4.7,0.055,3.0,9.0,0.99738,3.38,0.66,11.6,good
8.0,0.25,0.43,1.7,0.067,22.0,50.0,0.9946,3.38,0.6,11.9,bad
9.2,0.36,0.34,1.6,0.062,5.0,12.0,0.99667,3.2,0.67,10.5,bad
7.9,1.03,1.43,34.6,0.188,171.0,319.6,1.02447,3.05,1.59,12.7,good
13.0,0.72,0.99,55.4,0.309,152.9,248.1,1.0128,3.12,1.54,10.9,bad
8.8,0.2,0.43,15.0,0.053,60.0,184.0,1.0008,3.28,0.79,8.8,bad
9.2,0.83,0.91,32.6,0.173,100.6,308.3,1.01348,2.92,1.27,12.6,good
6.5,0.27,0.19,6.6,0.045,98.0,175.0,0.99364,3.16,0.34,10.1,bad
8.3,1.16,0.85,51.5,0.381,187.7,379.9,1.02082,2.85,1.51,12.9,good
7.6,0.15,0.35,4.3,0.051,23.0,98.0,0.99422,3.1,0.44,9.5,bad
9.3,1.31,1.1,36.2,0.404,238.4,329.3,1.01789,3.13,1.27,12.5,good
5.9,0.445,0.26,1.4,0.027,23.0,109.0,0.99148,3.3,0.36,10.5,bad
6.4,0.26,0.21,8.2,0.05,51.0,182.0,0.99542,3.23,0.48,9.5,bad
10.0,1.18,1.21,34.4,0.178,172.5,346.0,1.02534,2.94,1.25,13.8,bad
11.5,0.35,1.06,16.3,0.076,104.1,158.4,1.00976,3.16,1.77,12.0,bad
11.7,1.27,1.02,43.8,0.188,165.1,281.8,1.0197,3.07,1.23,11.6,good
14.1,1.25,1.06,44.8,0.156,230.7,211.5,1.02213,3.25,0.72,12.3,bad
14.0,0.82,0.82,43.4,0.159,184.5,156.8,1.015,2.97,1.17,10.4,good
6.8,0.18,0.3,12.8,0.062,19.0,171.0,0.99808,3.0,0.52,9.0,good
7.8,0.64,0.0,1.9,0.072,27.0,55.0,0.9962,3.31,0.63,11.0,bad
7.5,1.14,0.89,50.2,0.197,146.1,342.5,1.0096,3.28,0.82,12.5,good
12.2,0.96,0.95,48.5,0.297,227.1,223.7,1.00734,3.09,1.33,11.8,bad
5.6,0.22,0.32,1.2,0.024,29.0,97.0,0.98823,3.2,0.46,13.05,good
10.6,0.86,1.03,46.6,0.265,112.6,271.0,1.01295,3.15,1.24,12.3,good
9.4,0.52,0.89,45.4,0.305,184.5,315.5,1.01202,3.31,1.42,12.8,bad
10.9,1.03,1.17,27.9,0.257,172.8,128.0,1.01401,3.21,0.82,10.7,good
12.1,0.88,0.93,41.6,0.314,198.7,312.2,1.00686,3.27,1.2,12.9,bad
6.7,0.51,0.24,2.1,0.043,14.0,155.0,0.9904,3.22,0.6,13.0,bad
9.9,0.47,1.22,37.4,0.165,142.0,161.1,1.02125,3.38,0.72,10.8,good
6.9,0.115,0.35,5.4,0.048,36.0,108.0,0.9939,3.32,0.42,10.2,bad
11.5,1.17,1.49,39.2,0.396,162.8,351.9,1.02797,3.19,1.25,11.2,bad
10.1,0.92,0.66,40.7,0.34,121.2,314.7,1.01347,3.33,1.54,11.1,good
7.4,0.37,0.43,2.6,0.082,18.0,82.0,0.99708,3.33,0.68,9.7,bad
10.8,0.81,0.84,24.1,0.32,140.5,231.0,1.01127,3.05,1.48,12.4,bad
10.1,0.65,0.37,5.1,0.11,11.0,65.0,1.0026,3.32,0.64,10.4,bad
6.8,0.22,0.3,10.6,0.07,67.0,194.0,0.99654,2.89,0.42,9.0,bad
12.3,0.86,1.47,55.6,0.362,65.3,125.2,1.02754,3.04,0.85,10.1,good
12.6,0.85,0.61,45.7,0.255,212.3,258.2,1.01159,3.34,1.06,10.0,bad
13.0,0.96,1.16,46.2,0.102,190.8,379.5,1.02638,2.98,1.55,12.3,good
10.5,0.42,1.34,29.1,0.156,123.7,232.4,1.01867,3.23,1.69,12.3,good
11.1,1.08,0.83,47.1,0.166,98.3,300.5,1.00552,2.89,0.85,13.4,good
13.6,1.0,1.08,52.4,0.265,154.4,316.5,1.02151,3.01,1.59,10.4,bad
6.3,0.98,1.39,48.7,0.336,85.1,318.4,1.01561,3.15,1.52,13.4,good
9.8,1.11,0.92,54.1,0.369,146.1,230.4,1.01903,3.23,1.25,10.7,bad
9.6,0.56,0.31,2.8,0.089,15.0,46.0,0.9979,3.11,0.92,10.0,bad
13.9,1.02,0.96,45.9,0.38,228.4,191.7,1.01345,3.25,1.13,10.7,bad
7.5,0.32,0.49,1.7,0.031,44.0,109.0,0.9906,3.07,0.46,12.5,bad
13.2,0.89,0.63,26.1,0.205,172.6,237.9,1.01515,3.11,1.04,11.8,bad
10.5,0.87,1.49,55.6,0.311,143.7,220.0,1.01316,3.43,1.05,9.9,bad
9.9,0.73,1.16,59.2,0.166,114.0,267.0,1.00388,3.29,1.59,11.0,bad
11.3,1.27,0.74,47.9,0.132,218.9,287.2,1.01236,2.92,1.21,11.2,bad
10.2,1.14,0.95,41.6,0.546,198.5,263.4,1.02399,3.12,1.45,10.2,good
8.7,0.7,0.24,2.5,0.226,5.0,15.0,0.9991,3.32,0.6,9.0,bad
7.5,0.38,0.29,4.9,0.021,38.0,113.0,0.99026,3.08,0.48,13.0,good
13.0,0.8,0.93,23.7,0.129,150.0,298.4,1.00932,3.11,1.15,12.4,bad
9.4,1.08,1.02,58.9,0.285,94.0,275.0,1.01684,3.2,1.23,10.4,good
6.3,0.27,0.37,7.9,0.047,58.0,215.0,0.99542,3.19,0.48,9.5,bad
13.0,1.21,0.4,32.8,0.173,237.8,324.5,1.01042,3.13,0.56,11.4,bad
9.1,0.89,0.98,48.6,0.199,166.9,301.5,1.00999,3.26,1.18,12.4,good
11.8,0.92,0.79,43.7,0.34,259.0,380.2,1.01937,3.04,0.98,10.6,bad
7.15,0.17,0.24,9.6,0.119,56.0,178.0,0.99578,3.15,0.44,10.2,bad
6.9,0.41,0.33,2.2,0.081,22.0,36.0,0.9949,3.41,0.75,11.1,bad
8.6,0.98,0.63,39.6,0.15,189.0,202.3,1.01475,2.98,1.47,11.3,good
7.4,0.2,1.66,2.1,0.022,34.0,113.0,0.99165,3.26,0.55,12.2,bad
6.2,0.21,0.27,1.7,0.038,41.0,150.0,0.9933,3.49,0.71,10.5,good
7.0,0.16,0.32,8.3,0.045,38.0,126.0,0.9958,3.21,0.34,9.2,bad
7.4,1.11,1.02,44.9,0.308,171.1,326.4,1.02428,3.34,1.22,12.1,good
7.8,0.29,0.36,7.0,0.042,38.0,161.0,0.9941,3.26,0.37,11.2,good
12.8,1.07,1.26,29.4,0.104,176.3,261.4,1.01563,3.43,1.33,10.0,bad
11.3,0.56,1.19,47.1,0.151,150.1,268.4,1.02379,2.96,0.89,10.2,bad
12.0,1.25,0.91,38.0,0.431,158.1,317.2,1.02846,2.92,1.03,12.3,bad
6.7,1.04,1.05,47.6,0.052,186.1,210.1,1.00415,3.24,0.67,12.5,bad
12.6,1.0,1.06,34.1,0.144,99.9,375.9,1.01928,2.95,1.28,12.3,bad
10.7,0.9,0.9,49.4,0.253,143.8,269.0,1.00359,3.11,1.38,11.3,good
6.8,0.18,0.21,5.4,0.053,34.0,104.0,0.99445,3.3,0.43,9.4,bad
10.2,0.86,1.05,59.1,0.396,137.8,287.7,1.0256,3.45,1.44,10.9,good
8.3,0.33,0.43,9.2,0.046,22.0,126.0,0.9982,3.38,0.47,9.3,bad
6.1,0.17,0.28,2.5,0.028,22.0,98.0,0.99072,3.16,0.37,11.1,good
12.7,1.31,1.42,44.7,0.15,206.2,105.3,1.02435,3.1,1.07,11.4,bad
8.9,1.28,0.91,49.4,0.182,143.8,335.3,1.01214,2.99,1.54,12.6,bad
6.0,0.2,0.26,1.1,0.033,38.0,67.0,0.98954,3.14,0.38,11.5,bad
10.2,0.42,0.57,3.4,0.07,4.0,10.0,0.9971,3.04,0.63,9.6,bad
8.9,0.92,0.74,36.2,0.256,157.5,344.8,1.01487,3.44,1.28,12.3,good
10.6,0.93,1.34,42.5,0.274,194.5,160.9,1.01718,2.94,1.37,11.5,bad
9.2,0.74,0.6,40.4,0.242,139.7,227.4,1.02131,3.02,1.08,11.0,bad
12.6,0.85,0.61,45.7,0.255,212.3,258.2,1.01159,3.34,1.06,10.0,bad
9.0,0.85,0.95,46.2,0.214,156.8,343.1,1.01318,2.8,1.22,12.5,good
11.6,1.16,1.4,44.6,0.397,111.2,259.6,1.01822,3.4,1.58,10.6,good
12.8,1.16,0.85,51.8,0.397,137.2,273.6,1.0236,3.25,0.93,11.4,good
14.3,0.93,0.89,35.0,0.193,195.1,273.5,1.01214,2.86,1.59,11.2,good
6.4,0.19,0.35,10.2,0.043,40.0,106.0,0.99632,3.16,0.5,9.7,bad
9.3,1.02,1.21,49.9,0.288,109.3,216.0,1.00954,2.99,1.19,10.7,bad
10.7,0.75,0.94,40.6,0.304,54.6,195.7,1.00811,3.05,0.77,13.9,good
12.1,0.67,0.91,47.8,0.316,217.1,197.2,1.01535,3.11,1.4,10.7,good
7.3,0.17,0.24,8.1,0.121,32.0,162.0,0.99508,3.17,0.38,10.4,good
11.7,0.71,0.89,38.8,0.255,146.8,322.9,1.00459,3.4,1.0,12.2,good
6.8,0.21,0.26,11.7,0.038,61.0,152.0,0.99523,3.02,0.56,10.5,good
10.6,0.74,1.2,48.6,0.2,172.2,213.6,1.01147,3.51,1.09,12.5,bad
12.9,1.28,1.19,49.2,0.273,214.6,319.6,1.01747,3.38,0.77,12.3,good
10.2,0.49,0.63,2.9,0.072,10.0,26.0,0.9968,3.16,0.78,12.5,good
6.5,0.13,0.37,1.0,0.036,48.0,114.0,0.9911,3.41,0.51,11.5,good
9.6,0.96,1.2,43.3,0.29,132.3,191.2,1.01467,2.94,1.44,10.3,bad
12.6,1.14,1.08,14.7,0.283,212.2,286.9,1.02231,3.22,1.73,12.2,good
9.5,0.9,1.09,51.9,0.334,208.3,317.3,1.00462,2.84,1.48,11.6,good
7.8,0.6,0.14,2.4,0.086,3.0,15.0,0.9975,3.42,0.6,10.8,bad
8.6,1.41,1.03,57.5,0.283,163.9,338.8,1.01159,3.19,1.35,10.7,good
6.5,0.33,0.38,2.5,0.047,30.0,148.0,0.98964,3.17,0.43,12.7,bad
13.6,0.67,0.72,52.3,0.267,161.0,336.1,1.00295,2.85,1.57,13.0,bad
11.1,0.84,0.9,56.3,0.263,258.4,341.7,1.02458,2.87,0.85,9.3,good
13.5,0.91,0.81,51.4,0.2,222.2,242.9,0.99933,3.22,1.1,11.2,good
9.4,1.09,0.93,43.2,0.248,138.7,213.9,1.00799,3.02,1.35,12.3,bad
7.1,0.14,0.35,1.4,0.039,24.0,128.0,0.99212,2.97,0.68,10.4,bad
6.7,0.3,0.44,18.5,0.057,65.0,224.0,0.99956,3.11,0.53,9.1,bad
7.8,0.29,0.33,8.75,0.035,33.0,181.0,0.9962,3.11,0.46,10.7,bad
12.0,0.73,1.06,41.6,0.141,215.7,373.1,1.02752,2.96,1.65,11.0,good
6.2,1.22,0.82,48.9,0.266,185.2,274.6,0.99919,3.19,1.48,11.3,good
11.1,0.53,1.24,29.3,0.125,178.7,352.1,1.02984,3.02,1.51,13.3,bad
13.0,1.11,0.75,46.5,0.111,180.6,308.0,1.02569,3.08,1.26,13.0,bad
10.7,1.11,0.81,52.0,0.087,204.6,360.8,1.00951,2.86,1.29,12.1,good
7.5,0.58,0.56,3.1,0.153,5.0,14.0,0.99476,3.21,1.03,11.6,bad
10.9,0.41,1.35,37.4,0.118,95.7,341.1,1.02107,3.01,1.07,11.5,bad
10.3,1.0,0.91,33.9,0.144,56.9,182.0,1.01772,3.06,1.08,11.7,good
12.0,1.05,1.23,57.3,0.277,139.9,259.0,1.0135,2.98,1.4,10.7,bad
12.0,1.22,1.45,50.8,0.45,174.3,332.5,1.01722,3.12,1.15,11.1,good
8.0,0.28,0.32,7.6,0.045,61.0,204.0,0.99543,3.1,0.55,10.1,bad
11.1,1.01,0.79,43.9,0.159,235.6,348.4,1.00204,3.08,1.71,12.3,bad
10.5,0.59,1.21,48.3,0.359,205.8,193.1,1.01737,2.92,1.23,10.9,good
10.6,0.91,1.1,29.5,0.085,142.3,349.9,1.01885,2.89,1.35,13.5,bad
13.7,1.0,1.32,34.2,0.212,205.8,247.6,1.02377,3.08,1.57,10.7,good
10.4,1.19,1.01,52.3,0.28,179.5,299.1,1.00925,3.05,0.99,10.2,good
8.7,0.3,0.34,4.8,0.018,23.0,127.0,0.99474,3.12,0.49,11.2,good
6.7,0.62,0.21,1.9,0.079,8.0,62.0,0.997,3.52,0.58,9.3,bad
7.4,0.19,0.3,12.8,0.053,48.5,229.0,0.9986,3.14,0.49,9.1,good
7.4,0.16,0.3,13.7,0.056,33.0,168.0,0.99825,2.9,0.44,8.7,good
6.4,0.28,0.45,8.6,0.057,47.0,223.0,0.99654,3.16,0.51,9.1,bad
7.4,0.17,0.29,1.4,0.047,23.0,107.0,0.9939,3.52,0.65,10.4,bad
6.1,0.24,0.27,11.5,0.05,51.0,133.0,0.99476,3.22,0.37,10.8,bad
13.3,0.81,1.27,35.4,0.224,134.0,275.7,1.0067,2.97,1.63,13.8,bad
6.4,0.31,0.39,7.5,0.04,57.0,213.0,0.99475,3.32,0.43,10.0,bad
7.7,0.28,0.3,2.0,0.062,18.0,34.0,0.9952,3.28,0.9,11.3,good
6.4,0.26,0.22,5.1,0.037,23.0,131.0,0.9944,3.29,0.32,10.1,bad
13.3,1.18,1.21,54.7,0.385,165.6,377.2,1.02854,3.03,1.28,10.8,good
13.7,0.7,0.65,41.2,0.17,142.8,234.4,1.01853,3.17,0.94,10.9,bad
11.9,0.76,0.94,42.0,0.311,148.9,307.8,1.00965,3.06,0.97,11.7,bad
9.0,0.38,0.53,2.1,0.102,19.0,76.0,0.99001,2.93,0.57,12.9,bad
13.1,1.18,0.87,62.1,0.316,236.0,403.2,1.01971,3.2,0.71,10.3,bad
11.2,1.29,0.85,44.3,0.206,229.8,361.2,1.01679,3.17,1.73,12.9,good
6.6,0.22,0.37,1.6,0.04,31.0,101.0,0.99009,3.15,0.66,12.0,bad
7.3,0.2,0.37,1.2,0.037,48.0,119.0,0.992,3.32,0.49,10.9,bad
10.6,0.69,1.31,52.7,0.237,120.5,249.4,1.00739,3.02,1.36,11.9,bad
8.2,1.03,0.8,41.7,0.209,135.9,344.4,1.00787,3.4,1.49,12.8,bad
12.5,0.83,1.05,43.8,0.216,144.3,325.7,1.00953,3.0,1.23,12.6,good
6.7,0.17,0.42,10.4,0.038,85.0,182.0,0.99628,3.04,0.44,8.9,bad
11.5,0.63,1.04,50.9,0.131,157.3,324.2,1.00434,3.01,0.91,10.6,bad
7.7,0.9,1.12,41.7,0.428,147.4,327.3,1.02735,3.1,1.41,11.2,good
6.1,0.3,0.56,2.7,0.046,46.0,184.0,0.9924,3.31,0.57,10.9,bad
11.9,0.38,0.49,2.7,0.098,12.0,42.0,1.0004,3.16,0.61,10.3,bad
13.6,1.38,0.9,42.3,0.377,189.3,185.8,1.00959,3.01,1.32,11.0,good
10.4,0.94,1.09,38.3,0.164,191.1,235.6,1.02144,2.95,1.43,10.8,bad
12.7,1.21,0.76,47.0,0.371,224.2,196.2,1.01927,3.19,0.78,9.8,bad
11.4,0.9,0.6,30.7,0.215,157.6,281.8,1.0154,3.11,1.38,12.0,bad
10.2,1.07,1.09,26.0,0.179,122.9,134.8,1.02818,3.19,1.08,11.8,good
11.0,0.86,0.65,42.2,0.124,162.4,315.6,1.01517,3.04,0.96,13.1,bad
7.3,0.19,0.27,1.6,0.027,35.0,136.0,0.99248,3.38,0.54,11.0,good
11.4,0.86,0.46,36.8,0.264,171.0,277.1,1.01911,3.27,1.09,10.7,bad
12.4,1.11,1.12,31.4,0.266,177.2,292.2,1.02957,2.95,1.8,11.5,good
10.8,0.88,1.43,49.4,0.342,143.6,272.9,1.01232,3.38,0.85,10.2,good
7.6,0.28,0.17,1.6,0.046,28.0,117.0,0.99288,3.08,0.43,10.0,bad
14.3,0.46,1.09,41.8,0.445,194.6,333.7,1.01172,3.23,0.87,9.9,bad
12.9,1.01,0.8,35.4,0.154,192.9,220.9,1.01978,3.14,0.96,10.3,bad
9.9,1.16,1.18,34.4,0.366,167.5,307.8,1.02853,3.4,1.46,11.6,good
7.0,0.23,0.4,1.6,0.063,21.0,67.0,0.9952,3.5,0.63,11.1,bad
13.8,0.85,0.87,55.2,0.288,134.5,232.8,1.01875,3.16,0.97,10.7,good
5.9,0.21,0.24,12.1,0.044,53.0,165.0,0.9969,3.25,0.39,9.5,bad
10.5,1.11,0.92,34.6,0.226,200.2,286.4,1.00476,3.19,1.4,11.5,good
13.6,1.03,0.97,48.6,0.262,196.5,318.5,1.00777,3.09,1.49,11.7,bad
13.3,1.12,1.39,34.0,0.293,116.4,305.3,1.01846,3.0,1.63,11.7,bad
11.5,1.19,0.94,44.7,0.34,119.9,323.2,1.01227,3.26,1.24,10.5,good
8.1,0.78,0.63,50.2,0.209,158.6,324.8,1.01862,3.29,1.18,12.4,good
6.9,0.27,0.4,14.0,0.05,64.0,227.0,0.9979,3.18,0.58,9.6,bad
6.4,0.34,0.44,8.2,0.043,54.0,201.0,0.99551,3.18,0.48,9.5,bad
11.4,0.9,1.2,50.8,0.392,121.8,333.4,1.01895,3.11,1.31,10.4,good
11.4,1.06,0.71,53.0,0.355,157.7,380.2,1.03104,2.98,1.44,10.2,good
12.2,1.11,0.65,42.6,0.191,244.4,242.8,1.01638,3.12,0.85,9.8,bad
12.3,0.83,1.03,29.9,0.333,97.1,208.3,1.01677,3.28,1.25,10.8,bad
9.0,0.47,0.31,2.7,0.084,24.0,125.0,0.9984,3.31,0.61,9.4,bad
6.8,0.13,0.39,1.4,0.034,19.0,102.0,0.99121,3.23,0.6,11.3,good
9.3,1.28,0.91,32.5,0.201,219.4,249.5,1.01117,3.12,1.29,13.3,bad
13.3,0.73,0.68,50.2,0.184,189.9,157.2,1.00947,3.05,0.74,9.7,bad
12.6,0.83,0.98,36.7,0.344,162.6,319.1,1.01813,3.31,1.21,11.2,good
9.9,0.59,0.07,3.4,0.102,32.0,71.0,1.00015,3.31,0.71,9.8,bad
9.4,0.7,0.67,54.9,0.283,101.6,332.3,1.02008,3.06,0.82,11.2,bad
8.0,0.27,0.24,1.2,0.044,20.0,102.0,0.9929,3.28,0.42,10.9,bad
13.9,1.11,0.92,45.7,0.207,210.3,295.0,1.02162,3.41,1.19,10.9,good
9.3,1.38,0.76,54.0,0.11,196.9,312.7,1.02266,2.78,1.76,13.4,good
10.1,0.7,0.94,35.3,0.389,137.5,316.6,1.0294,3.32,1.13,12.3,good
9.5,1.02,1.31,41.7,0.386,233.7,327.1,1.02186,3.42,1.07,13.0,bad
12.8,0.81,1.33,31.6,0.133,208.3,198.4,1.01398,3.1,1.24,13.7,good
8.1,1.14,0.7,58.8,0.216,134.1,269.5,1.01802,3.41,1.0,12.1,bad
7.0,0.69,0.08,1.8,0.097,22.0,89.0,0.9959,3.34,0.54,9.2,bad
9.5,1.01,0.76,45.6,0.267,165.4,316.9,1.01818,3.1,1.27,10.1,bad
7.5,0.55,0.24,2.0,0.078,10.0,28.0,0.9983,3.45,0.78,9.5,bad
10.7,0.49,1.23,40.3,0.315,144.7,356.4,1.02794,3.12,1.32,10.9,bad
8.7,0.78,0.51,1.7,0.415,12.0,66.0,0.99623,3.0,1.17,9.2,bad
10.1,0.75,0.91,39.2,0.103,201.7,212.4,1.00308,3.13,1.68,12.7,bad
11.0,0.81,0.96,40.2,0.387,111.3,247.9,1.02179,3.28,1.12,11.0,good
9.6,1.13,0.83,42.1,0.209,191.5,251.1,1.01576,3.54,1.09,11.6,good
8.4,0.79,0.6,39.5,0.16,121.2,212.6,1.02692,3.0,1.32,13.1,bad
10.2,0.81,1.47,35.6,0.414,225.5,184.3,1.0115,3.56,1.28,10.9,good
12.0,0.7,1.22,35.6,0.367,194.9,267.6,1.01463,3.07,1.57,12.6,bad
7.4,0.27,0.48,1.1,0.047,17.0,132.0,0.9914,3.19,0.49,11.6,bad
12.9,1.41,0.67,52.5,0.176,215.1,337.2,1.01616,2.95,1.02,10.5,good
10.9,1.21,1.22,52.4,0.181,124.6,371.9,1.02622,3.06,0.91,11.5,good
13.8,1.01,1.05,29.3,0.334,204.1,322.1,1.01158,3.13,1.77,11.3,bad
6.8,0.22,0.37,1.7,0.036,38.0,195.0,0.9908,3.35,0.72,12.5,bad
7.7,0.29,0.48,2.3,0.049,36.0,178.0,0.9931,3.17,0.64,10.6,bad
8.6,1.15,0.5,49.6,0.271,148.8,324.9,1.00208,3.05,1.31,11.8,bad
12.7,0.75,0.8,44.4,0.131,221.9,229.7,1.0166,3.06,1.29,10.5,good
7.9,0.35,0.21,1.9,0.073,46.0,102.0,0.9964,3.27,0.58,9.5,bad
12.6,1.46,0.82,44.6,0.311,201.6,321.8,1.01609,3.0,1.59,12.8,good
9.4,0.43,0.24,2.8,0.092,14.0,45.0,0.998,3.19,0.73,10.0,bad
9.4,1.24,0.5,51.1,0.279,160.1,349.6,1.01937,3.04,1.28,12.5,bad
6.8,0.21,0.37,7.0,0.038,27.0,107.0,0.99206,2.98,0.82,11.5,bad
10.6,1.44,1.05,50.4,0.454,221.9,315.7,1.01914,3.08,1.24,11.3,good
12.1,0.45,0.75,44.4,0.081,211.3,381.8,1.02233,3.17,0.44,11.9,good
13.0,0.72,0.83,38.5,0.266,187.7,134.1,1.00693,3.38,1.27,10.4,good
7.0,0.2,0.31,8.0,0.05,29.0,213.0,0.99596,3.28,0.57,10.4,bad
13.0,0.87,0.73,44.5,0.268,178.9,310.9,1.01728,3.06,1.32,12.4,good
7.6,0.3,0.37,1.6,0.087,27.0,177.0,0.99438,3.09,0.5,9.8,bad
8.6,0.37,0.65,6.4,0.08,3.0,8.0,0.99817,3.27,0.58,11.0,bad
8.6,0.75,1.32,27.1,0.203,186.3,353.9,1.01546,3.43,1.4,12.6,good
11.2,1.34,1.31,59.5,0.297,194.8,249.5,1.01941,2.98,1.42,10.8,bad
11.0,0.91,0.91,54.0,0.337,188.3,279.1,1.02031,3.07,0.64,9.6,bad
6.8,0.27,0.42,7.3,0.054,58.0,200.0,0.99556,3.12,0.49,9.4,bad
7.2,1.35,1.11,49.0,0.261,164.8,249.7,1.01181,3.23,1.05,11.2,bad
6.2,0.58,0.0,1.6,0.065,8.0,18.0,0.9966,3.56,0.84,9.4,bad
6.1,0.24,0.26,1.7,0.033,61.0,134.0,0.9903,3.19,0.81,11.9,good
7.3,0.24,0.34,15.4,0.05,38.0,174.0,0.9983,3.03,0.42,9.0,bad
6.5,0.4,0.31,3.5,0.046,22.0,147.0,0.99024,3.15,0.31,12.0,good
10.9,0.78,0.58,45.2,0.193,184.9,172.4,1.02389,2.93,1.27,12.3,good
8.6,0.47,0.27,2.3,0.055,14.0,28.0,0.99516,3.18,0.8,11.2,bad
10.2,0.52,0.95,42.8,0.188,100.6,271.9,1.01853,3.3,0.86,10.4,good
13.0,0.63,1.33,43.4,0.244,226.0,331.0,1.01498,2.95,0.98,9.7,bad
10.7,0.9,1.45,44.4,0.262,237.0,49.9,1.02526,3.0,1.59,10.0,good
13.6,0.89,1.05,39.4,0.334,231.3,175.0,1.00811,3.08,1.06,9.7,bad
7.3,0.57,1.47,53.9,0.175,113.5,283.9,1.01083,3.16,0.92,12.1,good
7.9,0.2,0.39,1.0,0.041,37.0,154.0,0.99093,3.08,0.43,11.9,bad
7.5,0.18,0.31,11.7,0.051,24.0,94.0,0.997,3.19,0.44,9.5,good
9.9,1.14,1.18,38.4,0.318,210.2,275.0,1.02429,3.32,1.14,12.3,good
9.5,1.21,0.65,40.8,0.194,181.7,231.8,1.01016,3.06,1.0,10.8,bad
10.8,1.17,1.26,49.0,0.366,127.3,366.8,1.01758,2.97,1.64,12.9,good
9.6,1.1,0.87,45.3,0.306,164.1,366.4,1.01009,3.12,1.34,12.0,good
11.6,0.41,0.54,1.5,0.095,22.0,41.0,0.99735,3.02,0.76,9.9,good
9.8,1.11,0.47,55.9,0.311,116.8,257.1,1.01563,2.99,1.38,11.9,good
9.0,0.65,1.08,24.4,0.255,170.0,283.9,1.0095,3.21,1.35,12.4,bad
6.8,0.31,0.09,1.4,0.04,56.0,145.0,0.9922,3.19,0.46,10.0,bad
11.6,0.62,1.03,39.1,0.384,165.3,297.0,1.02689,3.48,1.41,12.3,bad
6.2,0.785,0.0,2.1,0.06,6.0,13.0,0.99664,3.59,0.61,10.0,bad
8.1,0.26,0.37,1.9,0.072,48.0,159.0,0.9949,3.37,0.7,10.9,bad
8.2,0.93,0.88,40.2,0.241,211.7,404.9,1.02436,3.04,1.21,12.6,bad
9.4,0.97,0.72,49.5,0.227,152.2,327.6,1.01419,3.53,1.11,11.4,good
8.7,1.09,0.73,43.9,0.186,158.3,211.0,1.0112,3.19,1.3,12.2,good
6.0,0.17,0.49,1.0,0.034,26.0,106.0,0.992,3.21,0.42,9.8,bad
6.2,0.35,0.25,18.4,0.051,28.0,182.0,0.99946,3.13,0.62,9.3,bad
12.7,0.92,0.62,47.0,0.242,161.6,306.7,1.01287,3.12,1.43,10.4,good
9.7,1.4,1.18,35.4,0.201,147.1,298.6,1.02491,2.94,1.74,11.5,good
8.9,1.14,1.06,49.2,0.287,142.0,202.9,1.0095,3.01,1.8,12.8,bad
